station_nm,line_id,geo_lat,geo_lon,st_dist_from_center
Электрозаводская,3,55.782057,37.7053,6.539371015498187
Электрозаводская,15,55.780284,37.703011,6.316189987795709
Говорово,81,55.6588,37.4174,16.22878152982073
Бульвар Дмитрия Донского,9,55.568201,37.576856,20.632182547618687
Краснопресненская,5,55.760378,37.577114,2.579058423023135
Краснопресненская,7,55.75436,37.633877,1.1745382497875367
Краснопресненская,7,55.739502,37.653605,2.777355893914685
Краснопресненская,7,55.773505,37.545518,4.99481738360225
Краснопресненская,7,55.709211,37.732117,8.749456408703349
Краснопресненская,7,55.825479,37.437024,13.855278099708189
Красносельская,1,55.780014,37.666097,4.431548646591062
Стахановская,15,55.727207,37.752257,9.026474862666017
Римская,10,55.747027,37.679996,4.087392013728898
Тульская,9,55.70961,37.622569,4.764459085876675
Сухаревская,6,55.772315,37.63285,2.4867026416332174
Бабушкинская,6,55.870641,37.664341,13.534871750560141
Некрасовка,15,55.702967,37.92803,20.384204361906185
Академическая,6,55.687147,37.5723,7.738287782585101
Академическая,1,60.012806,30.396044,638.5279028942809
Каховская,11,55.65278,37.597955,11.126483231112285
Каховская,11,55.652923,37.596573,11.119633019964905
Каховская,11,55.654327,37.647705,11.084840346621144
Раменки,81,55.697691,37.498725,9.526457086887168
Зюзино,11,55.655717,37.57369,11.062055646408957
Автозаводская,2,55.706634,37.657008,5.70447433821714
Автозаводская,1,56.257243,43.902357,396.069663699327
Автозаводская,14,55.70631,37.66314,5.921444961539188
Автозаводская,1,56.321097,43.945799,399.49010407634995
Баррикадная,7,55.760793,37.581242,2.3565919580279897
Марьино,10,55.649158,37.743844,14.025738775939956
Терехово,11,55.748108,37.459738,9.795493425821483
Строгино,3,55.803831,37.402405,14.557543039259913
Фили,4,55.746763,37.514035,6.404222920914776
Фили,D1,55.744216,37.514976,6.379005606309563
Лермонтовский проспект,7,55.702036,37.851044,15.815661936132608
Новоясеневская,6,55.601947,37.553017,17.187235342100177
Дубровка,10,55.71807,37.676259,5.384762224611315
Дубровка,14,55.71268,37.677775,5.886985978159019
Юго-Западная,1,55.663146,37.482852,12.959408074419187
Кожуховская,10,55.706156,37.68544,6.751205470714287
Нагорная,9,55.672962,37.610397,8.830280981480573
Нахимовский проспект,9,55.662379,37.605274,10.023460533968986
Угрешская,14,55.718333,37.697778,6.396087738242716
Сходненская,7,55.84926,37.44076,15.391680746385953
Коммунарка,1,55.560071,37.46865,23.306089666456593
Бульвар Адмирала Ушакова,12,55.545207,37.542329,23.504485048592894
Митино,3,55.846098,37.36122,19.070601445291256
Мичуринский проспект,11,55.688203,37.485304,10.853811063354751
Мичуринский проспект,81,55.6888,37.485,10.824705189364852
Киевская,3,55.743117,37.564132,3.3849033410439975
Киевская,4,55.743168,37.565425,3.3057817872270587
Киевская,5,55.74361,37.56735,3.1756459270876873
Пражская,9,55.610962,37.602386,15.748922960495506
Менделеевская,9,55.781999,37.599141,3.471999251222656
Кутузовская,4,55.740544,37.5341,5.278334066482824
Кутузовская,14,55.740833,37.533333,5.3172496970761225
Братиславская,10,55.658817,37.748415,13.337921010285243
Спортивная,1,55.722388,37.562041,4.725836321395463
Спортивная,1,53.201121,50.199286,862.2810813975865
